East,West,North,South
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,0,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
